Date,Time,Vehicle,Place,Reason,Position,Description,Datetime,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Latitude,Longitude,ts,hour,dow,is_weekend,is_wet,lat_bin,lon_bin,segment_id,is_speed_reason,SPI_smoothed
2021.04.18,05:00:00,Car,Ginigathena Police Station,Slipped,"6.9890, 80.4940",Fell on wet road,2021-04-18 05:00:00,22.0,91,0.0,4.7,6.989,80.494,2021-04-18 05:00:00,5,6,1,0,6.989,80.494,6.989_80.494,0,0.3347763347763348
2021.04.27,21:05:00,Bus,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",hit a pole,2021-04-27 21:05:00,21.9,94,0.0,4.1,6.9924,80.4886,2021-04-27 21:05:00,21,1,0,0,6.992,80.489,6.992_80.489,1,0.39833711262282695
2021.05.01,15:35:00,Bus,Kadawala School,Excessive Speed,"6.9774, 80.5039",Hit wall,2021-05-01 15:35:00,24.4,91,0.2,2.9,6.9774,80.5039,2021-05-01 15:35:00,15,5,1,1,6.977,80.504,6.977_80.504,1,0.4256854256854257
2021.05.07,12:50:00,Lorry,Diyagala 57/6 Culvert,Slipped,"6.977227, 80.506114",slipped when breaking,2021-05-07 12:50:00,25.4,94,0.7,2.9,6.977227,80.506114,2021-05-07 12:50:00,12,4,0,1,6.977,80.506,6.977_80.506,0,0.35071806500377933
2021.05.10,08:30:00,Lorry,Kadawala 55/18 Culvert,Slipped,"6.978281, 80.505027",Turn over,2021-05-10 08:30:00,25.0,83,0.0,2.9,6.978281,80.505027,2021-05-10 08:30:00,8,0,0,0,6.978,80.505,6.978_80.505,0,0.35071806500377933
2021.05.14,08:10:00,Lorry,Pitawala Sub Post Office,Slipped,"6.9919, 80.4463",Turn over,2021-05-14 08:10:00,23.8,89,1.0,2.0,6.9919,80.4463,2021-05-14 08:10:00,8,4,0,1,6.992,80.446,6.992_80.446,0,0.35071806500377933
2021.05.23,13:55:00,Three Wheeler,Ambagamuwa 9/8 Culvert,Excessive Speed,"7.0190, 80.4938",hit a cyclist,2021-05-23 13:55:00,24.5,87,0.6,11.6,7.019,80.4938,2021-05-23 13:55:00,13,6,1,1,7.019,80.494,7.019_80.494,1,0.39833711262282695
2021.05.27,21:45:00,Motor Cycle,Ambagamuwa Temple,Excessive Speed,"7.0189, 80.4938",Collision with bus,2021-05-27 21:45:00,21.5,96,1.2,7.7,7.0189,80.4938,2021-05-27 21:45:00,21,3,0,1,7.019,80.494,7.019_80.494,1,0.39833711262282695
2021.06.05,17:20:00,Motor Cycle,Ginigathena Bus Stand,Slipped,"6.9954, 80.4918",skidded on gravel,2021-06-05 17:20:00,21.4,95,1.1,10.2,6.9954,80.4918,2021-06-05 17:20:00,17,5,1,1,6.995,80.492,6.995_80.492,0,0.35071806500377933
2021.06.09,14:20:00,Three Wheeler,Green View Hotel,Slipped,"6.9903, 80.4908",Hit pedestrian,2021-06-09 14:20:00,23.4,89,1.2,11.7,6.9903,80.4908,2021-06-09 14:20:00,14,2,0,1,6.99,80.491,6.99_80.491,0,0.3347763347763348
2021.06.18,10:45:00,Van,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",collision with bike,2021-06-18 10:45:00,24.7,86,0.5,9.1,6.9985,80.4758,2021-06-18 10:45:00,10,4,0,1,6.998,80.476,6.998_80.476,1,0.39833711262282695
2021.06.22,07:55:00,Van,Laxapana Bata Deka,Excessive Speed,"6.9780, 80.4587",Lost control,2021-06-22 07:55:00,22.3,95,0.3,8.5,6.978,80.4587,2021-06-22 07:55:00,7,1,0,1,6.978,80.459,6.978_80.459,1,0.39833711262282695
2021.07.01,19:10:00,Car,Pitawala Junction,Slipped,"6.9942, 80.4497",lost control,2021-07-01 19:10:00,21.8,95,0.1,11.5,6.9942,80.4497,2021-07-01 19:10:00,19,3,0,0,6.994,80.45,6.994_80.45,0,0.35071806500377933
2021.07.05,16:30:00,Car,Badupola School,Slipped,"7.0000, 80.4733",Skidded on wet road,2021-07-05 16:30:00,24.5,89,0.0,6.5,7.0,80.4733,2021-07-05 16:30:00,16,0,0,0,7.0,80.473,7.0_80.473,0,0.35071806500377933
2021.07.14,07:35:00,Bus,Diyagala 56/7 Culvert,Excessive Speed,"6.978707, 80.503531",hit a tree,2021-07-14 07:35:00,21.7,93,0.1,5.9,6.978707,80.503531,2021-07-14 07:35:00,7,2,0,0,6.979,80.504,6.979_80.504,1,0.39833711262282695
2021.07.18,09:05:00,Bus,Diyagala 57/7 Culvert,Excessive Speed,"6.979471, 80.503557",Hit tree,2021-07-18 09:05:00,22.8,92,2.1,7.0,6.979471,80.503557,2021-07-18 09:05:00,9,6,1,1,6.979,80.504,6.979_80.504,1,0.39833711262282695
2021.07.19,11:30:00,Car / Three Wheeler,Millagahamula 46km-47km,Slipped,"6.990216, 80.459145",,2021-07-19 11:30:00,24.2,81,0.4,9.4,6.990216,80.459145,2021-07-19 11:30:00,11,0,0,1,6.99,80.459,6.99_80.459,0,0.35071806500377933
2021.07.27,12:00:00,Lorry,Millagahamula 48/8 Culvert,Mechanical Error,"6.990183, 80.464522",engine failure,2021-07-27 12:00:00,25.4,77,0.2,12.1,6.990183,80.464522,2021-07-27 12:00:00,12,1,0,1,6.99,80.465,6.99_80.465,0,0.35071806500377933
2021.07.31,22:40:00,Lorry,Millagahamula 48/4 Culvert,Slipped,"6.991344, 80.460638",Turn over,2021-07-31 22:40:00,20.9,95,0.0,4.1,6.991344,80.460638,2021-07-31 22:40:00,22,5,1,0,6.991,80.461,6.991_80.461,0,0.3347763347763348
2021.08.02,13:30:00,Three Wheeler / Motor Cycle,Ambagamuwa Temple,Excessive Speed,"7.018978, 80.493822",accident while overtaking,2021-08-02 13:30:00,23.4,90,0.6,8.4,7.018978,80.493822,2021-08-02 13:30:00,13,0,0,1,7.019,80.494,7.019_80.494,1,0.39833711262282695
2021.08.09,15:25:00,Three Wheeler,Ginigathena Market,Slipped,"6.9889, 80.4921",Turn over,2021-08-09 15:25:00,23.4,87,0.5,8.7,6.9889,80.4921,2021-08-09 15:25:00,15,0,0,1,6.989,80.492,6.989_80.492,0,0.38023088023088025
2021.08.13,15:15:00,Motor Cycle,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",Collision with van,2021-08-13 15:15:00,23.8,96,0.3,7.8,6.9889,80.4921,2021-08-13 15:15:00,15,4,0,1,6.989,80.492,6.989_80.492,1,0.4256854256854257
2021.08.22,20:50:00,Motor Cycle,Kadawala School,Excessive Speed,"6.9775, 80.5040",hit a pedestrian,2021-08-22 20:50:00,20.7,95,0.0,3.6,6.9775,80.504,2021-08-22 20:50:00,20,6,1,0,6.978,80.504,6.978_80.504,1,0.39833711262282695
2021.08.26,08:50:00,Three Wheeler,Ambagamuwa 9/4 Culvert,Slipped,"7.016803, 80.492307",Skidded on oil,2021-08-26 08:50:00,22.1,99,0.2,8.4,7.016803,80.492307,2021-08-26 08:50:00,8,3,0,1,7.017,80.492,7.017_80.492,0,0.35071806500377933
2021.09.08,13:25:00,Van,Kadawala 55/11 Culvert,Excessive Speed,"6.978646, 80.502325",Hit barrier,2021-09-08 13:25:00,24.2,84,1.0,9.7,6.978646,80.502325,2021-09-08 13:25:00,13,2,0,1,6.979,80.502,6.979_80.502,1,0.4256854256854257
2021.09.21,18:00:00,Car,Rampadeniya 51/6 Culvert,Slipped,"6.997421, 80.477024",Turn over,2021-09-21 18:00:00,21.4,95,0.1,5.1,6.997421,80.477024,2021-09-21 18:00:00,18,1,0,0,6.997,80.477,6.997_80.477,0,0.35071806500377933
2021.09.22,10:00:00,Motor Cycle,Ambagamuwa Temple,Slipped,"7.018978, 80.493822",,2021-09-22 10:00:00,24.7,83,0.3,6.6,7.018978,80.493822,2021-09-22 10:00:00,10,2,0,1,7.019,80.494,7.019_80.494,0,0.35071806500377933
2021.10.04,10:35:00,Bus,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",Hit ambulance,2021-10-04 10:35:00,24.1,92,0.1,9.7,6.9924,80.4886,2021-10-04 10:35:00,10,0,0,0,6.992,80.489,6.992_80.489,1,0.39833711262282695
2021.10.17,19:10:00,Lorry,Bagathuluwa 11/4 Culvert,Mechanical Error,"6.999472, 80.490629",Brake failure,2021-10-17 19:10:00,21.4,95,0.0,5.9,6.999472,80.490629,2021-10-17 19:10:00,19,6,1,0,6.999,80.491,6.999_80.491,0,0.3347763347763348
2021.10.25,16:30:00,Three Wheeler / Lorry,Badupola 50km Marker,Excessive Speed,"6.9918482, 80.4571",hit with a car,2021-10-25 16:30:00,22.3,90,0.2,2.8,6.9918482,80.4571,2021-10-25 16:30:00,16,0,0,1,6.992,80.457,6.992_80.457,1,0.39833711262282695
2021.10.30,11:45:00,Motor Cycle,Green View Hotel,Slipped,"6.9903, 80.4908",Fell on curve,2021-10-30 11:45:00,23.2,94,0.6,3.6,6.9903,80.4908,2021-10-30 11:45:00,11,5,1,1,6.99,80.491,6.99_80.491,0,0.35071806500377933
2021.11.11,06:10:00,Lorry,Bagathuluwa 11/4 Culvert,,"6.999472, 80.490629",out of control,2021-11-11 06:10:00,21.2,89,0.0,4.0,6.999472,80.490629,2021-11-11 06:10:00,6,3,0,0,6.999,80.491,6.999_80.491,0,0.35071806500377933
2021.11.12,22:20:00,Three Wheeler,Ambagamuwa Temple,Excessive Speed,"7.0189, 80.4938",Hit cyclist,2021-11-12 22:20:00,20.3,95,0.0,5.0,7.0189,80.4938,2021-11-12 22:20:00,22,4,0,0,7.019,80.494,7.019_80.494,1,0.4256854256854257
2021.11.20,03:00:00,Jeep,Arogya Medical Center,,"6.989637, 80.491742",driver fell asleep,2021-11-20 03:00:00,20.6,99,0.3,7.5,6.989637,80.491742,2021-11-20 03:00:00,3,5,1,1,6.99,80.492,6.99_80.492,0,0.35071806500377933
2021.11.25,15:55:00,Van,Kithulvila Hotel,Slipped,"6.9939, 80.4469",Turn over,2021-11-25 15:55:00,22.2,92,0.2,7.1,6.9939,80.4469,2021-11-25 15:55:00,15,3,0,1,6.994,80.447,6.994_80.447,0,0.3347763347763348
2021.12.08,08:30:00,Car,44km Mark On Ht-colombo Rd,Excessive Speed,"6.993788, 80.445966",Lost control,2021-12-08 08:30:00,24.4,71,0.0,4.3,6.993788,80.445966,2021-12-08 08:30:00,8,2,0,0,6.994,80.446,6.994_80.446,1,0.4256854256854257
2021.12.10,11:30:00,Bus / Motor Cycle,Rampadeniya 51/11 Culvert,Excessive Speed,"6.996108, 80.480098",hit a man,2021-12-10 11:30:00,26.0,73,0.2,7.8,6.996108,80.480098,2021-12-10 11:30:00,11,4,0,1,6.996,80.48,6.996_80.48,1,0.39833711262282695
2021.12.13,16:30:00,Lorry,800 M From Ginigathena (towards Hatton),,"6.985993, 80.496711",Turn over,2021-12-13 16:30:00,22.0,94,7.1,5.1,6.985993,80.496711,2021-12-13 16:30:00,16,0,0,1,6.986,80.497,6.986_80.497,0,0.35071806500377933
2021.12.15,10:20:00,Three Wheeler,Bagathuluwa Temple,,"7.003902, 80.489918",hit with a car,2021-12-15 10:20:00,24.4,80,0.1,3.8,7.003902,80.489918,2021-12-15 10:20:00,10,2,0,0,7.004,80.49,7.004_80.49,0,0.35071806500377933
2021.12.21,13:05:00,Bus,Diyagala 57/8 Culvert,Slipped,"6.978656, 80.503532",Skidded on wet road,2021-12-21 13:05:00,25.6,80,0.2,4.9,6.978656,80.503532,2021-12-21 13:05:00,13,1,0,1,6.979,80.504,6.979_80.504,0,0.3347763347763348
2022.01.03,16:40:00,Lorry,Ranjurawa 49/4 Culvert,Excessive Speed,"6.994455, 80.465674",Hit electricity pole,2022-01-03 16:40:00,23.6,80,1.0,4.1,6.994455,80.465674,2022-01-03 16:40:00,16,0,0,1,6.994,80.466,6.994_80.466,1,0.4256854256854257
2022.01.08,17:45:00,Three Wheeler,Millagahamula Yakada Palama,,"6.991377, 80.461838",out of control,2022-01-08 17:45:00,23.9,77,0.2,1.8,6.991377,80.461838,2022-01-08 17:45:00,17,5,1,1,6.991,80.462,6.991_80.462,0,0.35071806500377933
2022.01.10,08:20:00,Three Wheeler,Ginigathena Market,Slipped,"6.9889, 80.4921",Turn over,2022-01-10 08:20:00,22.0,85,0.1,2.6,6.9889,80.4921,2022-01-10 08:20:00,8,0,0,0,6.989,80.492,6.989_80.492,0,0.35071806500377933
2022.01.16,09:15:00,Motor Cycle,Ginigathena Temple,Slipped,"6.9887, 80.4948",Fell on wet road,2022-01-16 09:15:00,25.3,76,0.0,6.3,6.9887,80.4948,2022-01-16 09:15:00,9,6,1,0,6.989,80.495,6.989_80.495,0,0.35071806500377933
2022.01.17,14:45:00,Bus,Millagahamula Bridge,Excessive Speed,"6.9913, 80.4618",Passenger injured,2022-01-17 14:45:00,25.8,77,0.1,5.0,6.9913,80.4618,2022-01-17 14:45:00,14,0,0,0,6.991,80.462,6.991_80.462,1,0.39833711262282695
2022.01.24,18:30:00,Lorry,Millagahamula Bridge,Mechanical Error,"6.9913, 80.4618",Brake failure,2022-01-24 18:30:00,22.0,81,0.0,2.8,6.9913,80.4618,2022-01-24 18:30:00,18,0,0,0,6.991,80.462,6.991_80.462,0,0.35071806500377933
2022.01.29,20:50:00,Three Wheeler,Arogya Medical Center,Excessive Speed,"6.9896, 80.4917",Hit pedestrian,2022-01-29 20:50:00,21.1,92,0.0,5.6,6.9896,80.4917,2022-01-29 20:50:00,20,5,1,0,6.99,80.492,6.99_80.492,1,0.39833711262282695
2022.01.31,09:15:00,Motor Cycle,Ambagamuwa Hot Roti Store,Excessive Speed,"7.0193, 80.4952",Collision with car,2022-01-31 09:15:00,24.7,78,0.1,6.6,7.0193,80.4952,2022-01-31 09:15:00,9,0,0,0,7.019,80.495,7.019_80.495,1,0.39833711262282695
2022.02.06,18:00:00,Van,Arogya Medical Center,,"6.989637, 80.491742",Hit with a three wheeler,2022-02-06 18:00:00,22.8,73,0.0,5.4,6.989637,80.491742,2022-02-06 18:00:00,18,6,1,0,6.99,80.492,6.99_80.492,0,0.35071806500377933
2022.02.07,16:30:00,Van,Kadawala Baduyir Hotel,Slipped,"6.9774, 80.5039",Skidded on wet road,2022-02-07 16:30:00,25.0,70,0.0,9.1,6.9774,80.5039,2022-02-07 16:30:00,16,0,0,0,6.977,80.504,6.977_80.504,0,0.35071806500377933
2022.02.11,13:25:00,Van,Kalugala Maha Vidyalaya,Slipped,"6.9945, 80.4471",Turn over,2022-02-11 13:25:00,24.0,83,3.9,6.1,6.9945,80.4471,2022-02-11 13:25:00,13,4,0,1,6.994,80.447,6.994_80.447,0,0.35071806500377933
2022.02.14,11:20:00,Car,Pitawala Junction,Excessive Speed,"6.9941, 80.4496",Hit pedestrian,2022-02-14 11:20:00,26.2,71,0.0,6.7,6.9941,80.4496,2022-02-14 11:20:00,11,0,0,0,6.994,80.45,6.994_80.45,1,0.39833711262282695
2022.02.17,20:30:00,Van,Ranjurawa 49/4 Culvert,Slipped,"6.994455, 80.465674",Turn over,2022-02-17 20:30:00,20.5,83,0.0,7.6,6.994455,80.465674,2022-02-17 20:30:00,20,3,0,0,6.994,80.466,6.994_80.466,0,0.35071806500377933
2022.02.21,20:10:00,Three Wheeler,Bagathuluwa Temple,Slipped,"7.0039, 80.4899",Turn over,2022-02-21 20:10:00,22.6,91,0.0,3.1,7.0039,80.4899,2022-02-21 20:10:00,20,0,0,0,7.004,80.49,7.004_80.49,0,0.35071806500377933
2022.02.24,06:00:00,Car,Millagahamula 46/12 Culvert,Excessive Speed,"6.989994, 80.457293",Collision with lorry,2022-02-24 06:00:00,17.4,90,0.0,3.1,6.989994,80.457293,2022-02-24 06:00:00,6,3,0,0,6.99,80.457,6.99_80.457,1,0.39833711262282695
2022.02.28,08:45:00,Bus,Diyagala 57/6 Culvert,Excessive Speed,"6.977227, 80.506114",Out of control,2022-02-28 08:45:00,23.9,63,0.0,1.5,6.977227,80.506114,2022-02-28 08:45:00,8,0,0,0,6.977,80.506,6.977_80.506,1,0.39833711262282695
2022.03.07,13:00:00,Car / Lorry,Kalugala Maha Vidyalaya,Excessive Speed,"6.994512, 80.447164",driver fell asleep,2022-03-07 13:00:00,29.1,51,0.0,9.3,6.994512,80.447164,2022-03-07 13:00:00,13,0,0,0,6.995,80.447,6.995_80.447,1,0.39833711262282695
2022.03.07,13:15:00,Lorry,Rampadeniya 51/9 Culvert,Slipped,"6.995527, 80.478718",Plunged into ditch,2022-03-07 13:15:00,29.1,51,0.0,9.3,6.995527,80.478718,2022-03-07 13:15:00,13,0,0,0,6.996,80.479,6.996_80.479,0,0.35071806500377933
2022.03.09,14:35:00,Bus,Ginigathena Bus Stand,Slipped,"6.9954, 80.4918",Skidded on oil,2022-03-09 14:35:00,30.3,37,0.0,10.9,6.9954,80.4918,2022-03-09 14:35:00,14,2,0,0,6.995,80.492,6.995_80.492,0,0.35071806500377933
2022.03.14,17:50:00,Motor Cycle,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",Hit three-wheeler,2022-03-14 17:50:00,25.5,70,0.1,5.4,6.9924,80.4886,2022-03-14 17:50:00,17,0,0,0,6.992,80.489,6.992_80.489,1,0.39833711262282695
2022.03.21,10:30:00,Three Wheeler,Kalugala Maha Vidyalaya,Slipped,"6.9945, 80.4471",Turn over,2022-03-21 10:30:00,26.1,72,0.0,6.9,6.9945,80.4471,2022-03-21 10:30:00,10,0,0,0,6.994,80.447,6.994_80.447,0,0.35071806500377933
2022.03.22,07:10:00,Lorry,Badupola 50km Marker,Mechanical Error,"6.9985, 80.4758",Engine failure,2022-03-22 07:10:00,22.5,82,0.0,6.9,6.9985,80.4758,2022-03-22 07:10:00,7,1,0,0,6.998,80.476,6.998_80.476,0,0.35071806500377933
2022.03.24,16:00:00,Three Wheeler / Cab,Kalugala Maha Vidyalaya,,"6.994563, 80.447144",,2022-03-24 16:00:00,24.4,79,0.0,1.9,6.994563,80.447144,2022-03-24 16:00:00,16,3,0,0,6.995,80.447,6.995_80.447,0,0.35071806500377933
2022.03.25,18:40:00,Car / Motor Cycle,Bagathuluwa Temple,,"7.0039, 80.4899",Turn over,2022-03-25 18:40:00,22.3,94,0.1,3.6,7.0039,80.4899,2022-03-25 18:40:00,18,4,0,0,7.004,80.49,7.004_80.49,0,0.35071806500377933
2022.03.26,13:20:00,Van / Motor Cycle,Ambagamuwa Samurdi Bank,,"7.010875, 80.490356",,2022-03-26 13:20:00,27.5,66,0.0,6.0,7.010875,80.490356,2022-03-26 13:20:00,13,5,1,0,7.011,80.49,7.011_80.49,0,0.35071806500377933
2022.03.26,17:50:00,Bus,Pitawala 48/5 Culvert,,"6.9928006, 80.4519109",,2022-03-26 17:50:00,24.1,79,0.0,3.4,6.9928006,80.4519109,2022-03-26 17:50:00,17,5,1,0,6.993,80.452,6.993_80.452,0,0.3068783068783069
2022.03.26,17:50:00,Bus,Pitawala 48/5 Culvert,,"6.9928006, 80.4519109",,2022-03-26 17:50:00,24.1,79,0.0,3.4,6.9928006,80.4519109,2022-03-26 17:50:00,17,5,1,0,6.993,80.452,6.993_80.452,0,0.3068783068783069
2022.03.26,17:50:00,Bus,Pitawala 48/5 Culvert,,"6.9928006, 80.4519109",,2022-03-26 17:50:00,24.1,79,0.0,3.4,6.9928006,80.4519109,2022-03-26 17:50:00,17,5,1,0,6.993,80.452,6.993_80.452,0,0.3068783068783069
2022.03.26,17:50:00,Bus,Pitawala 48/5 Culvert,,"6.9928006, 80.4519109",,2022-03-26 17:50:00,24.1,79,0.0,3.4,6.9928006,80.4519109,2022-03-26 17:50:00,17,5,1,0,6.993,80.452,6.993_80.452,0,0.3068783068783069
2022.03.28,19:20:00,Van,Ambagamuwa Samurdi Bank,Excessive Speed,"7.010875, 80.490356",Collision with bike,2022-03-28 19:20:00,22.6,93,0.0,1.4,7.010875,80.490356,2022-03-28 19:20:00,19,0,0,0,7.011,80.49,7.011_80.49,1,0.39833711262282695
2022.04.04,07:45:00,Car,Badupola 50km Marker,Slipped,"6.9984, 80.4757",Skidded on oil,2022-04-04 07:45:00,22.5,91,0.0,2.4,6.9984,80.4757,2022-04-04 07:45:00,7,0,0,0,6.998,80.476,6.998_80.476,0,0.35071806500377933
2022.04.04,12:45:00,Motor Cycle,Ambagamuwa 9/5 Culvert,Excessive Speed,"7.017119, 80.492386",Hit three-wheeler,2022-04-04 12:45:00,25.7,78,0.4,5.2,7.017119,80.492386,2022-04-04 12:45:00,12,0,0,1,7.017,80.492,7.017_80.492,1,0.4256854256854257
2022.04.11,14:10:00,Bus,Hatton Road 57km,Excessive Speed,"6.9693, 80.5131",Hit barrier,2022-04-11 14:10:00,24.1,91,0.3,7.4,6.9693,80.5131,2022-04-11 14:10:00,14,0,0,1,6.969,80.513,6.969_80.513,1,0.39833711262282695
2022.04.17,17:20:00,Three Wheeler,Ginigathena Market,Slipped,"6.9889, 80.4921",Turn over,2022-04-17 17:20:00,23.7,81,0.1,4.0,6.9889,80.4921,2022-04-17 17:20:00,17,6,1,0,6.989,80.492,6.989_80.492,0,0.35071806500377933
2022.04.27,01:10:00,Car,Millagahamula Wasana Hotel,,"6.9918482, 80.4571194",turn over,2022-04-27 01:10:00,21.9,92,0.0,2.2,6.9918482,80.4571194,2022-04-27 01:10:00,1,2,0,0,6.992,80.457,6.992_80.457,0,0.35071806500377933
2022.04.30,10:55:00,Van,Diyagala 56/2 Culvert,Excessive Speed,"6.976911, 80.503590",Lost control,2022-04-30 10:55:00,25.8,79,0.3,6.2,6.976911,80.50359,2022-04-30 10:55:00,10,5,1,1,6.977,80.504,6.977_80.504,1,0.4256854256854257
2022.05.13,21:30:00,Car,Rampadeniya 51/11 Culvert,Slipped,"6.9961, 80.4800",Skidded on gravel,2022-05-13 21:30:00,21.2,100,3.7,9.3,6.9961,80.48,2022-05-13 21:30:00,21,4,0,1,6.996,80.48,6.996_80.48,0,0.35071806500377933
2022.05.26,14:05:00,Bus,Kadawala 55/13 Culvert,Excessive Speed,"6.977741, 80.503269",Hit tree,2022-05-26 14:05:00,23.8,89,1.1,13.3,6.977741,80.503269,2022-05-26 14:05:00,14,3,0,1,6.978,80.503,6.978_80.503,1,0.4256854256854257
2022.06.08,07:40:00,Lorry,Millagahamula Wasana Hotel,Slipped,"6.9918, 80.4571",Turn over,2022-06-08 07:40:00,22.3,91,0.1,7.7,6.9918,80.4571,2022-06-08 07:40:00,7,2,0,0,6.992,80.457,6.992_80.457,0,0.35071806500377933
2022.06.21,16:15:00,Motor Cycle,Ambagamuwa Samurdi Bank,Excessive Speed,"7.010875, 80.490356",Collision with car,2022-06-21 16:15:00,22.8,83,0.4,6.9,7.010875,80.490356,2022-06-21 16:15:00,16,1,0,1,7.011,80.49,7.011_80.49,1,0.39833711262282695
2022.06.22,15:50:00,Motor Cycle,Rampadeniya 51/6 Culvert,,"6.997421, 80.477024",turn over,2022-06-22 15:50:00,24.1,80,0.2,9.2,6.997421,80.477024,2022-06-22 15:50:00,15,2,0,1,6.997,80.477,6.997_80.477,0,0.35071806500377933
2022.07.04,09:50:00,Three Wheeler,Ginigathena Police Station,Slipped,"6.9890, 80.4940",Fell on wet road,2022-07-04 09:50:00,23.9,80,0.0,10.7,6.989,80.494,2022-07-04 09:50:00,9,0,0,0,6.989,80.494,6.989_80.494,0,0.3347763347763348
2022.07.17,22:25:00,Van,Pitawala Junction,Excessive Speed,"6.9941, 80.4496",Hit barrier,2022-07-17 22:25:00,21.6,98,0.1,5.6,6.9941,80.4496,2022-07-17 22:25:00,22,6,1,0,6.994,80.45,6.994_80.45,1,0.4256854256854257
2022.07.30,15:00:00,Car,Diyagala 57/9 Culvert,Slipped,"6.955723, 80.527169",Skidded on oil,2022-07-30 15:00:00,22.4,96,0.9,3.9,6.955723,80.527169,2022-07-30 15:00:00,15,5,1,1,6.956,80.527,6.956_80.527,0,0.3347763347763348
2022.08.12,08:35:00,Bus,Bagathuluwa Temple,Excessive Speed,"7.0039, 80.4899",Hit wall,2022-08-12 08:35:00,23.7,85,0.1,6.4,7.0039,80.4899,2022-08-12 08:35:00,8,4,0,0,7.004,80.49,7.004_80.49,1,0.4256854256854257
2022.08.25,13:10:00,Lorry,Ambagamuwa Hot Roti Store,Slipped,"7.0193, 80.4952",Turn over,2022-08-25 13:10:00,23.3,83,1.0,10.9,7.0193,80.4952,2022-08-25 13:10:00,13,3,0,1,7.019,80.495,7.019_80.495,0,0.3347763347763348
2022.08.26,12:30:00,Van,Ambagamuwa Temple,Slipped,"7.018978, 80.493822",,2022-08-26 12:30:00,22.7,90,2.6,10.3,7.018978,80.493822,2022-08-26 12:30:00,12,4,0,1,7.019,80.494,7.019_80.494,0,0.35071806500377933
2022.08.29,17:00:00,Lorry,Ranjurawa Jeewani Motors,,"6.998065, 80.467209",Turn over,2022-08-29 17:00:00,22.4,92,0.2,7.9,6.998065,80.467209,2022-08-29 17:00:00,17,0,0,1,6.998,80.467,6.998_80.467,0,0.35071806500377933
2022.09.07,18:45:00,Motor Cycle,Kadawala Baduyir Hotel,Excessive Speed,"6.9774, 80.5039",Collision with three-wheeler,2022-09-07 18:45:00,21.1,94,0.3,6.6,6.9774,80.5039,2022-09-07 18:45:00,18,2,0,1,6.977,80.504,6.977_80.504,1,0.4256854256854257
2022.09.13,18:40:00,Motor Cycle,Arogya Medical Center,,"6.989637, 80.491742",Turn over,2022-09-13 18:40:00,22.0,97,0.1,4.6,6.989637,80.491742,2022-09-13 18:40:00,18,1,0,0,6.99,80.492,6.99_80.492,0,0.35071806500377933
2022.09.20,11:20:00,Three Wheeler,Ginigathena Hospital,Slipped,"6.9924, 80.4886",Skidded on wet road,2022-09-20 11:20:00,24.2,85,0.7,10.4,6.9924,80.4886,2022-09-20 11:20:00,11,1,0,1,6.992,80.489,6.992_80.489,0,0.3347763347763348
2022.09.23,05:30:00,Lorry,Kadawala 55/13 Culvert,,"6.977741, 80.503269",Turn over,2022-09-23 05:30:00,19.8,95,0.0,4.7,6.977741,80.503269,2022-09-23 05:30:00,5,4,0,0,6.978,80.503,6.978_80.503,0,0.35071806500377933
2022.09.25,19:30:00,Cab / Car / Three Wheeler,Ambagamuwa 9/4 Culvert,,"7.016803, 80.492307",,2022-09-25 19:30:00,21.5,93,1.4,2.3,7.016803,80.492307,2022-09-25 19:30:00,19,6,1,1,7.017,80.492,7.017_80.492,0,0.35071806500377933
2022.10.03,20:55:00,Van,Laxapana Bata Deka,Excessive Speed,"6.9780, 80.4587",Lost control,2022-10-03 20:55:00,20.7,98,0.6,6.4,6.978,80.4587,2022-10-03 20:55:00,20,0,0,1,6.978,80.459,6.978_80.459,1,0.4256854256854257
2022.10.16,09:30:00,Car,Millagahamula Bridge,Slipped,"6.9913, 80.4618",Turn over,2022-10-16 09:30:00,23.7,87,0.3,9.8,6.9913,80.4618,2022-10-16 09:30:00,9,6,1,1,6.991,80.462,6.991_80.462,0,0.35071806500377933
2022.10.22,10:30:00,Three Wheeler,Anura Hardware,Excessive Speed,"6.989214, 80.492826",hit a child,2022-10-22 10:30:00,23.8,81,0.2,5.4,6.989214,80.492826,2022-10-22 10:30:00,10,5,1,1,6.989,80.493,6.989_80.493,1,0.39833711262282695
2022.10.23,15:50:00,Car,Ambagamuwa 9/9 Culvert,Slipped,"7.019383, 80.497491",,2022-10-23 15:50:00,21.5,96,1.9,6.8,7.019383,80.497491,2022-10-23 15:50:00,15,6,1,1,7.019,80.497,7.019_80.497,0,0.35071806500377933
2022.10.26,21:45:00,Lorry,Pitawala 48/5 Culvert,Slipped,"6.9928006, 80.4519109",plunged into a precipice,2022-10-26 21:45:00,22.2,83,0.0,3.2,6.9928006,80.4519109,2022-10-26 21:45:00,21,2,0,0,6.993,80.452,6.993_80.452,0,0.35071806500377933
